Saison;Compagnie Operating;Numéro de vol;Compagnie Marketing;Numéro de vol Marketing;Aéroport de départ;Aéroport d'arrivée;Jour de départ en Local;Jour d'arrivée  en Local;Heure de départ en Local;Heure d'arrivée en Local;Date de début de période;Date de fin  de période;Compagnie propriétaire;Type Avion
W19;Sky Bahamas;3;Sham Wing Airlines;8099;Licenciado Benito Juarez International Airport;Charles de Gaulle International Airport;1;2;23:55;17:25;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;3;Sham Wing Airlines;8099;Licenciado Benito Juarez International Airport;Charles de Gaulle International Airport;2;3;23:55;17:25;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;3;Sham Wing Airlines;8099;Licenciado Benito Juarez International Airport;Charles de Gaulle International Airport;5;6;23:55;17:25;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;3;Sham Wing Airlines;8099;Licenciado Benito Juarez International Airport;Charles de Gaulle International Airport;6;7;23:55;17:25;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;3;Sham Wing Airlines;8099;Licenciado Benito Juarez International Airport;Charles de Gaulle International Airport;4;5;23:55;17:25;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;3;Sham Wing Airlines;8099;Licenciado Benito Juarez International Airport;Charles de Gaulle International Airport;7;1;23:55;17:25;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;3;Sham Wing Airlines;8099;Licenciado Benito Juarez International Airport;Charles de Gaulle International Airport;3;4;23:55;17:25;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;4;Sham Wing Airlines;8098;Charles de Gaulle International Airport;Licenciado Benito Juarez International Airport;7;1;22:45;04:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;4;Sham Wing Airlines;8098;Charles de Gaulle International Airport;Licenciado Benito Juarez International Airport;2;3;22:45;04:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;4;Sham Wing Airlines;8098;Charles de Gaulle International Airport;Licenciado Benito Juarez International Airport;4;5;22:45;04:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;4;Sham Wing Airlines;8098;Charles de Gaulle International Airport;Licenciado Benito Juarez International Airport;3;4;22:45;04:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;4;Sham Wing Airlines;8098;Charles de Gaulle International Airport;Licenciado Benito Juarez International Airport;5;6;22:45;04:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;4;Sham Wing Airlines;8098;Charles de Gaulle International Airport;Licenciado Benito Juarez International Airport;6;7;22:45;04:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;4;Sham Wing Airlines;8098;Charles de Gaulle International Airport;Licenciado Benito Juarez International Airport;1;2;22:45;04:00;;;Sky Bahamas;Boeing 787
W19;Sham Wing Airlines;6;Thai Flying Helicopter Service;2301;Charles de Gaulle International Airport;John F Kennedy International Airport;1;1;13:20;15:55;;;Sham Wing Airlines;Airbus A380-800
W19;Sham Wing Airlines;6;Thai Flying Helicopter Service;2301;Charles de Gaulle International Airport;John F Kennedy International Airport;2;2;13:20;15:55;;;Sham Wing Airlines;Airbus A380-800
W19;Sham Wing Airlines;6;Thai Flying Helicopter Service;2301;Charles de Gaulle International Airport;John F Kennedy International Airport;3;3;13:20;15:55;;;Sham Wing Airlines;Airbus A380-800
W19;Sham Wing Airlines;6;Thai Flying Helicopter Service;2301;Charles de Gaulle International Airport;John F Kennedy International Airport;4;4;13:20;15:55;;;Sham Wing Airlines;Airbus A380-800
W19;Sham Wing Airlines;6;Thai Flying Helicopter Service;2301;Charles de Gaulle International Airport;John F Kennedy International Airport;5;5;13:20;15:55;;;Sham Wing Airlines;Airbus A380-800
