date,granularite,maille_code,nom_region,cas_confirmes,deces,hospitalises,gueris
24/01/2020,region,REG-11,Île-de-France,2.0,,2.0,
24/01/2020,region,REG-11,Île-de-France,2.0,,2.0,
24/01/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,,
24/01/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
24/01/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
25/01/2020,region,REG-11,Île-de-France,2.0,,2.0,
25/01/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
26/01/2020,region,REG-11,Île-de-France,2.0,,2.0,
26/01/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
27/01/2020,region,REG-11,Île-de-France,2.0,,2.0,
27/01/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
28/01/2020,region,REG-11,Île-de-France,3.0,,3.0,
28/01/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
29/01/2020,region,REG-11,Île-de-France,4.0,,4.0,
29/01/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
30/01/2020,region,REG-11,Île-de-France,5.0,,5.0,
30/01/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
31/01/2020,region,REG-11,Île-de-France,5.0,,5.0,
31/01/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
03/02/2020,region,REG-11,Île-de-France,5.0,,5.0,
03/02/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
05/02/2020,region,REG-11,Île-de-France,5.0,,5.0,
05/02/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
06/02/2020,region,REG-11,Île-de-France,5.0,,5.0,
06/02/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
07/02/2020,region,REG-11,Île-de-France,5.0,,5.0,
07/02/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
07/02/2020,region,REG-84,Auvergne-Rhône-Alpes,5.0,0.0,5.0,
08/02/2020,region,REG-11,Île-de-France,5.0,,5.0,
08/02/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
08/02/2020,region,REG-84,Auvergne-Rhône-Alpes,5.0,0.0,5.0,
08/02/2020,region,REG-84,Auvergne-Rhône-Alpes,5.0,0.0,5.0,
10/02/2020,region,REG-11,Île-de-France,5.0,,5.0,
10/02/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
10/02/2020,region,REG-84,Auvergne-Rhône-Alpes,5.0,0.0,5.0,
11/02/2020,region,REG-11,Île-de-France,5.0,,5.0,
11/02/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
11/02/2020,region,REG-84,Auvergne-Rhône-Alpes,5.0,0.0,5.0,
12/02/2020,region,REG-11,Île-de-France,5.0,,5.0,
12/02/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
12/02/2020,region,REG-84,Auvergne-Rhône-Alpes,5.0,0.0,5.0,
20/02/2020,region,REG-11,Île-de-France,5.0,,4.0,
20/02/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,1.0,
20/02/2020,region,REG-84,Auvergne-Rhône-Alpes,6.0,0.0,6.0,
25/02/2020,region,REG-27,Bourgogne-Franche-Comté,0.0,0.0,,
26/02/2020,region,REG-32,Hauts-de-France,2.0,1.0,,
26/02/2020,region,REG-44,Grand Est,1.0,0.0,,
27/02/2020,region,REG-84,Auvergne-Rhône-Alpes,2.0,0.0,,
28/02/2020,region,REG-01,Guadeloupe,0.0,,,
28/02/2020,region,REG-02,Martinique,0.0,,,
28/02/2020,region,REG-03,Guyane,0.0,,,
28/02/2020,region,REG-04,La Réunion,0.0,,,
28/02/2020,region,REG-06,Mayotte,0.0,,,
28/02/2020,region,REG-11,Île-de-France,9.0,,,
28/02/2020,region,REG-24,Centre-Val de Loire,0.0,,,
28/02/2020,region,REG-27,Bourgogne-Franche-Comté,5.0,0.0,,
28/02/2020,region,REG-27,Bourgogne-Franche-Comté,4.0,,,
28/02/2020,region,REG-28,Normandie,1.0,,,
28/02/2020,region,REG-28,Normandie,0.0,,,
28/02/2020,region,REG-32,Hauts-de-France,9.0,,,
28/02/2020,region,REG-44,Grand Est,1.0,,,
28/02/2020,region,REG-52,Pays de la Loire,1.0,,,
28/02/2020,region,REG-53,Bretagne,1.0,,,
28/02/2020,region,REG-75,Nouvelle-Aquitaine,1.0,,,
28/02/2020,region,REG-76,Occitanie,1.0,,,
28/02/2020,region,REG-84,Auvergne-Rhône-Alpes,11.0,,,
28/02/2020,region,REG-93,Provence-Alpes-Côte d'Azur,0.0,,,
28/02/2020,region,REG-94,Corse,0.0,,,
29/02/2020,region,REG-75,Nouvelle-Aquitaine,4.0,,,
01/03/2020,region,REG-27,Bourgogne-Franche-Comté,10.0,0.0,,
02/03/2020,region,REG-01,Guadeloupe,0.0,,,
02/03/2020,region,REG-02,Martinique,0.0,,,
02/03/2020,region,REG-03,Guyane,0.0,,,
02/03/2020,region,REG-04,La Réunion,0.0,,,
02/03/2020,region,REG-06,Mayotte,0.0,,,
02/03/2020,region,REG-11,Île-de-France,34.0,,,
02/03/2020,region,REG-24,Centre-Val de Loire,0.0,,,
02/03/2020,region,REG-27,Bourgogne-Franche-Comté,8.0,,,
02/03/2020,region,REG-28,Normandie,2.0,0.0,,
02/03/2020,region,REG-28,Normandie,2.0,,,
02/03/2020,region,REG-32,Hauts-de-France,45.0,,,
02/03/2020,region,REG-44,Grand Est,7.0,0.0,,
02/03/2020,region,REG-44,Grand Est,12.0,,,
02/03/2020,region,REG-44,Grand Est,5.0,,,
02/03/2020,region,REG-52,Pays de la Loire,5.0,,,
02/03/2020,region,REG-53,Bretagne,13.0,,,
02/03/2020,region,REG-75,Nouvelle-Aquitaine,4.0,,,
02/03/2020,region,REG-76,Occitanie,6.0,,,
02/03/2020,region,REG-84,Auvergne-Rhône-Alpes,32.0,0.0,,6.0
02/03/2020,region,REG-84,Auvergne-Rhône-Alpes,37.0,,,
02/03/2020,region,REG-93,Provence-Alpes-Côte d'Azur,9.0,,,
02/03/2020,region,REG-94,Corse,0.0,,,
03/03/2020,region,REG-01,Guadeloupe,3.0,,,
03/03/2020,region,REG-02,Martinique,0.0,,,
03/03/2020,region,REG-03,Guyane,0.0,,,
03/03/2020,region,REG-04,La Réunion,0.0,,,
03/03/2020,region,REG-06,Mayotte,0.0,,,
03/03/2020,region,REG-11,Île-de-France,37.0,,,
03/03/2020,region,REG-24,Centre-Val de Loire,0.0,,,
03/03/2020,region,REG-27,Bourgogne-Franche-Comté,15.0,0.0,,
03/03/2020,region,REG-27,Bourgogne-Franche-Comté,13.0,,,
03/03/2020,region,REG-28,Normandie,2.0,,,
03/03/2020,region,REG-32,Hauts-de-France,59.0,,,
03/03/2020,region,REG-44,Grand Est,13.0,,,
03/03/2020,region,REG-52,Pays de la Loire,5.0,,,
03/03/2020,region,REG-53,Bretagne,19.0,,,
03/03/2020,region,REG-75,Nouvelle-Aquitaine,4.0,,,
03/03/2020,region,REG-75,Nouvelle-Aquitaine,4.0,,,
03/03/2020,region,REG-76,Occitanie,7.0,,,
03/03/2020,region,REG-84,Auvergne-Rhône-Alpes,36.0,0.0,,6.0
03/03/2020,region,REG-84,Auvergne-Rhône-Alpes,40.0,,,
03/03/2020,region,REG-93,Provence-Alpes-Côte d'Azur,10.0,,,
03/03/2020,region,REG-94,Corse,0.0,,,
04/03/2020,region,REG-01,Guadeloupe,0.0,,,
04/03/2020,region,REG-02,Martinique,0.0,,,
04/03/2020,region,REG-03,Guyane,5.0,0.0,,
04/03/2020,region,REG-03,Guyane,0.0,,,
04/03/2020,region,REG-04,La Réunion,0.0,,,
04/03/2020,region,REG-06,Mayotte,0.0,,,
04/03/2020,region,REG-11,Île-de-France,55.0,,,
04/03/2020,region,REG-24,Centre-Val de Loire,0.0,,,
04/03/2020,region,REG-27,Bourgogne-Franche-Comté,19.0,0.0,,
04/03/2020,region,REG-27,Bourgogne-Franche-Comté,16.0,,,
04/03/2020,region,REG-28,Normandie,2.0,,,
04/03/2020,region,REG-32,Hauts-de-France,65.0,,,
04/03/2020,region,REG-44,Grand Est,26.0,0.0,,
04/03/2020,region,REG-44,Grand Est,38.0,,,
04/03/2020,region,REG-52,Pays de la Loire,7.0,,,
04/03/2020,region,REG-53,Bretagne,24.0,,,
04/03/2020,region,REG-53,Bretagne,23.0,,,
04/03/2020,region,REG-75,Nouvelle-Aquitaine,5.0,,,1.0
04/03/2020,region,REG-75,Nouvelle-Aquitaine,5.0,,,
04/03/2020,region,REG-76,Occitanie,9.0,,,
