Index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
1009780,03/01/2020,115000.0,81,CHE,0380,D'EMBALENS,31620,CASTELNAU D ESTRETEFONDS,31,118,1257,,3,2,53,3,0,0.0,1,0,1,0,0,0
1024714,22/09/2020,636000.0,291,CHE,0720,DU TUCAUT,31270,CUGNAUX,31,157,103,,6,3,80,3,0,0.0,4,0,1,1,0,0
999717,14/09/2020,536000.0,87,RUE,7496,RIQUET,31000,TOULOUSE,31,555,586,,3,2,90,3,0,44.8,2,0,1,0,0,0
986881,02/03/2020,125000.0,52,RUE,1244,BONNAT,31400,TOULOUSE,31,555,84,,1,2,51,3,0,0.0,1,0,1,0,0,0
993631,08/06/2020,250000.0,17,RUE,1236,DU BOIS FLEURI,31500,TOULOUSE,31,555,230,,0,1,180,6,648,0.0,1,0,0,0,0,1
1010035,15/01/2020,773100.0,10,CHE,2360,DE LARRAMET,31170,TOURNEFEUILLE,31,557,50,,3,,0,0,0,0.0,3,1,0,0,0,0
1010830,05/02/2020,68000.0,81,CHE,0380,D'EMBALENS,31620,CASTELNAU D ESTRETEFONDS,31,118,1257,,3,2,35,2,0,35.7,1,0,1,0,0,0
986319,13/02/2020,310000.0,48,ALL,4600,JEAN JAURES,31000,TOULOUSE,31,555,24,,2,2,87,2,0,91.61,1,0,1,0,0,0
1011713,17/02/2020,595800.0,10,CHE,2360,DE LARRAMET,31170,TOURNEFEUILLE,31,557,50,,3,,0,0,0,0.0,3,1,0,0,0,0
984889,20/01/2020,435000.0,198,RTE,5096,DE LAUNAGUET,31200,TOULOUSE,31,555,708,,3,3,56,3,0,60.1,3,0,1,1,0,0
990614,28/05/2020,184000.0,190,RTE,5096,DE LAUNAGUET,31200,TOULOUSE,31,555,65,,2,3,33,2,0,0.0,2,0,1,1,0,0
1044171,05/02/2020,200000.0,8,RUE,0377,GEORGE SAND,31220,CAZERES SUR GARONNE,31,135,1746,,0,1,100,4,615,0.0,1,0,0,0,0,1
999264,31/08/2020,580000.0,16,RUE,1324,DES BOULEAUX,31200,TOULOUSE,31,555,160,,0,1,67,4,298,0.0,2,0,0,1,0,1
1009955,09/01/2020,414000.0,30,CHE,0896,DE BASSO CAMBO,31100,TOULOUSE,31,555,13,,3,3,58,3,0,0.0,3,0,1,1,0,0
1023366,31/08/2020,1.220472E8,35,AV,3984,DE GRANDE BRETAGNE,31300,TOULOUSE,31,555,580,,33,3,0,0,0,0.0,33,0,0,1,0,0
1053798,17/12/2020,6880000.0,,,B088,LA ROUDERE,31220,SAINT MICHEL,31,505,342,,0,,0,0,132719,0.0,43,0,0,0,0,0
1042322,17/12/2020,10000.0,,,B080,LABARTHE,31450,MONTESQUIEU LAURAGAIS,31,374,433,,0,,0,0,3620,0.0,1,0,0,0,0,0
984297,10/01/2020,320000.0,197,CHE,3238,DE FENOUILLET,31200,TOULOUSE,31,555,36,,0,1,144,6,4003,0.0,2,0,0,0,0,1
1030192,23/11/2020,227000.0,8,RUE,0317,ANDRE MAZANA,31100,TOULOUSE,31,555,174,,1,1,78,4,0,76.9,1,0,0,0,0,1
997023,06/08/2020,80000.0,16,RUE,3360,DE LA FONDERIE,31000,TOULOUSE,31,555,323,,1,2,17,1,0,0.0,1,0,1,0,0,0
1006743,18/12/2020,2050000.0,12,AV,8484,DES TILLEULS,31500,TOULOUSE,31,555,61,,0,1,200,5,725,0.0,2,0,0,0,0,1
999248,31/08/2020,165000.0,1,RUE,1316,BOULBONNE,31000,TOULOUSE,31,555,111,,1,2,28,1,0,0.0,1,0,1,0,0,0
1048977,31/08/2020,194760.0,43,AV,1317,DU PIC DU GER,31600,MURET,31,395,65,,2,2,42,2,0,0.0,2,0,1,1,0,0
1053840,17/12/2020,320000.0,,,B094,SOULEILLA D AUGERON,31220,SAINT MICHEL,31,505,428,,0,,0,0,8535,0.0,2,0,0,0,0,0
1053311,17/12/2020,194055.0,,,B097,PRATS DES POUNES,31600,SEYSSES,31,547,225,,0,,0,0,12937,0.0,3,0,0,0,0,0
990912,07/05/2020,482280.0,7,RUE,2604,DEODORA,31400,TOULOUSE,31,555,588,,4,3,67,4,0,64.49,2,0,1,1,0,0
1026226,13/10/2020,208000.0,,,B088,FOUISSET,31340,VILLEMUR SUR TARN,31,584,39,,0,,0,0,1894,0.0,1,0,0,0,0,0
1036117,06/05/2020,49000.0,2,PL,1220,DU PATTY,31250,REVEL,31,451,829,,0,,0,0,40,0.0,1,0,0,0,0,0
