Index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
1358747,09/09/2022,576517.0,56,RUE,4736,JONQUIERES,31500,TOULOUSE,31,555,491,,0,1,96,2,255,0.0,1,0,0,0,0,1
1341897,14/06/2022,70000.0,17,RUE,7996,ST THOMAS D AQUIN,31400,TOULOUSE,31,555,526,,1,2,18,1,0,18.86,1,0,1,0,0,0
1366078,13/10/2022,180000.0,1462,,B076,ENGARRES,31330,GRENADE SUR GARONNE,31,232,16,,0,1,82,4,1100,0.0,1,0,0,0,0,1
1378420,23/12/2022,317000.0,16,RUE,0199,DU SOLEIL LEVANT,31320,PECHABOU,31,409,91,,0,1,85,4,415,0.0,1,0,0,0,0,1
1365863,13/10/2022,3.0,,,B073,NEGOGALINOS,31120,PORTET SUR GARONNE,31,433,136,,0,,0,0,306,0.0,3,0,0,0,0,0
1323108,07/03/2022,449000.0,6,RUE,0361,ANNA POLITKOVSKAIA,31200,TOULOUSE,31,555,399,,2,3,62,3,0,61.61,2,0,1,1,0,0
1404030,13/10/2022,180000.0,,,B074,PUNTOUS,31410,LONGAGES,31,303,763,,0,,0,0,5066,0.0,2,0,0,0,0,0
1409771,23/12/2022,1060000.0,445,CHE,0196,DU TUCAUT,31600,EAUNES,31,165,128,,5,,0,0,0,0.0,5,1,0,0,0,0
1370757,15/11/2022,424220.0,,,B063,CHABANASSI,31300,TOULOUSE,31,555,91,,2,,0,0,0,0.0,2,1,0,0,0,0
1367103,21/10/2022,358000.0,2,RUE,0300,DES ECOLES,31320,CASTANET TOLOSAN,31,113,219,,2,2,65,3,0,66.23,2,0,1,1,0,0
1326886,24/03/2022,530604.0,22,BD,5080,LASCROSSES,31000,TOULOUSE,31,555,207,,5,2,43,2,0,43.46,3,0,1,1,0,0
1405029,21/10/2022,1189800.0,2212,RTE,0301,DU PLANTAUREL,31860,LABARTHE SUR LEZE,31,248,205,,3,,0,0,0,0.0,3,1,0,0,0,0
1406168,21/11/2022,1540000.0,7,RUE,0195,RICHARD WAGNER,31600,SEYSSES,31,547,337,,1,3,357,16,1124,0.0,9,0,1,1,0,1
1336454,31/05/2022,2344600.0,237,RUE,1820,GASTON DOUMERGUE,31170,TOURNEFEUILLE,31,557,65,,9,3,35,0,0,0.0,9,1,0,1,1,0
1374711,29/11/2022,262440.0,6,RUE,0810,SAINT JEAN,31130,BALMA,31,44,564,,2,,0,0,0,0.0,2,1,0,0,0,0
1337486,24/05/2022,470000.0,4,RUE,7307,RAYMOND DELMOTTE,31400,TOULOUSE,31,555,343,,4,2,65,3,0,0.0,2,0,1,1,0,0
1334415,18/05/2022,168000.0,24,AV,5848,DES MAZADES,31200,TOULOUSE,31,555,513,,1,2,65,4,0,0.0,1,0,1,0,0,0
1340759,14/06/2022,466952.0,320,RTE,7988,DE SAINT SIMON,31100,TOULOUSE,31,555,609,,4,2,122,5,0,38.23,4,0,1,1,0,0
1354211,18/08/2022,553800.0,380,RTE,7988,DE SAINT SIMON,31100,TOULOUSE,31,555,291,,2,,0,0,0,0.0,2,1,0,0,0,0
1403308,13/10/2022,172360.0,,,B066,PLAINE DU MOULIN D EMPEAUX,31470,ST THOMAS,31,518,810,,0,,0,0,2965,0.0,3,0,0,0,0,0
1333543,21/04/2022,456000.0,111,RUE,8588,DES TROENES,31200,TOULOUSE,31,555,367,,5,3,42,2,0,0.0,3,0,1,1,0,0
1330278,26/04/2022,78000.0,20,BD,5080,LASCROSSES,31000,TOULOUSE,31,555,86,,2,3,0,0,0,0.0,2,0,0,1,0,0
1340779,08/06/2022,288000.0,8,AV,3861,GEORGES POMPIDOU,31500,TOULOUSE,31,555,651,,4,2,35,2,0,44.0,2,0,1,1,0,0
1405739,15/11/2022,139000.0,,,B078,DARRE LA HOUNT,31310,MONTBRUN BOCAGE,31,365,592,,0,,0,0,85180,0.0,10,0,0,0,0,0
1324711,07/03/2022,604400.0,2,ALL,0345,DU CHATEAU,31770,COLOMIERS,31,149,1450,,16,3,47,2,0,0.0,4,0,1,1,0,0
1405449,15/11/2022,3209.05,,,B074,PIQUEPE,31600,EAUNES,31,165,295,,0,,0,0,4937,0.0,1,0,0,0,0,0
1321498,17/02/2022,474900.0,31,AV,2328,DES COTEAUX,31400,TOULOUSE,31,555,113,,5,3,45,2,0,0.0,3,0,1,1,0,0
1331683,22/04/2022,1196004.0,1,PL,7300,DU RAVELIN,31300,TOULOUSE,31,555,726,,5,3,74,4,0,73.11,3,0,1,1,0,0
1367204,03/11/2022,204000.0,191,RTE,5096,DE LAUNAGUET,31200,TOULOUSE,31,555,1,,2,2,44,2,0,0.0,2,0,1,1,0,0
1327509,04/04/2022,1712712.0,12,AV,3861,GEORGES POMPIDOU,31500,TOULOUSE,31,555,165,,3,2,150,5,0,0.0,3,0,1,1,0,0
1331656,14/04/2022,170000.0,3,RUE,3076,ESPINASSE,31000,TOULOUSE,31,555,475,,1,2,24,1,0,0.0,1,0,1,0,0,0
1315266,25/01/2022,268900.0,14,RUE,4199,HENRI ZIEGLER,31300,TOULOUSE,31,555,117,,1,1,105,5,0,0.0,1,0,0,0,0,1
1365553,13/10/2022,178500.0,,,B055,AU VILLAGE,31140,PECHBONNIEU,31,410,478,,0,,0,0,15,0.0,1,0,0,0,0,0
1403031,13/10/2022,3000.0,,,B053,LA GOUTE,31160,MONTASTRUC-DE-SALIES,31,357,582,,0,,0,0,5570,0.0,1,0,0,0,0,0
1356766,30/08/2022,162000.0,3,RUE,2599,DEODAT ROCHE,31100,TOULOUSE,31,555,114,,2,3,24,1,0,0.0,2,0,1,1,0,0
1406018,15/11/2022,90070.0,,,B049,LOUBINE,31190,MIREMONT,31,345,1319,,0,,0,0,970,0.0,2,0,0,0,0,0
1346056,12/07/2022,523210.0,41,RUE,7604,ROQUELAINE,31000,TOULOUSE,31,555,747,,3,3,69,3,0,46.24,3,0,1,1,0,0
1371794,15/11/2022,700.0,,,B045,TOULOUSENC,31480,CADOURS,31,98,2,,0,,0,0,610,0.0,1,0,0,0,0,0
1397787,08/07/2022,358000.0,6,RUE,1088,NOEL SERRANI,31470,FONSORBES,31,187,130,,0,1,144,4,1000,0.0,1,0,0,0,0,1
1360003,30/08/2022,735000.0,20,RUE,2596,DENIS PAPIN,31500,TOULOUSE,31,555,70,,3,,0,0,0,0.0,3,1,0,0,0,0
1365241,21/10/2022,288000.0,1,RUE,2980,EMILE HEYBRARD,31300,TOULOUSE,31,555,337,,2,3,61,3,0,0.0,2,0,1,1,0,0
1372488,01/12/2022,398000.0,1,RUE,7358,DES REDOUTES,31500,TOULOUSE,31,555,190,,1,3,0,0,0,0.0,1,0,0,1,0,0
1357982,23/08/2022,149110.0,157,CHE,8088,DE LA SALADE PONSAN,31400,TOULOUSE,31,555,470,,2,3,15,1,0,14.73,2,0,1,1,0,0
1317757,05/02/2022,232600.0,42,RUE,0331,FARA SABINA,31340,VILLEMUR SUR TARN,31,584,2391,,1,1,94,4,0,0.0,1,0,0,0,0,1
1369082,31/10/2022,547000.0,4,BD,2198,JEAN GAY,31170,TOURNEFEUILLE,31,557,455,,1,4,163,0,0,153.07,1,0,0,0,1,0
1403047,13/10/2022,21000.0,,,B058,GOUTES,31160,MONTASTRUC-DE-SALIES,31,357,726,,0,,0,0,34583,0.0,7,0,0,0,0,0
