index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
29/11/2023,29/11/2023,553500.0,1,ALL,0811,MARIE CAZIN,31770,COLOMIERS,31,149,62,,9,2,67,3,0,0.0,3,0,1,1,0,0
19/01/2023,19/01/2023,135000.0,3,IMP,0081,DE LA HALLE,31620,FRONTON,31,202,1081,,0,,0,0,710,0.0,1,0,0,0,0,0
13/10/2023,13/10/2023,270000.0,,,B067,LE VILLAGE,31430,POUY DE TOUGES,31,436,80,,0,,222,8,2410,0.0,2,0,0,0,0,1
19/01/2023,19/01/2023,229230.0,15,RUE,0082,DE LATCHE,31700,BEAUZELLE,31,56,443,,0,1,67,3,138,0.0,1,0,0,0,0,1
19/01/2023,19/01/2023,150000.0,139,RTE,0083,DE MOLAS,31230,L ISLE-EN-DODON,31,239,517,,0,1,184,9,1102,0.0,2,0,0,0,0,1
19/10/2023,19/10/2023,384000.0,11,RUE,7582,ROGER SICRE,31300,TOULOUSE,31,555,209,,1,3,0,0,0,0.0,1,1,0,1,0,0
13/10/2023,13/10/2023,135000.0,,,B066,VIGNE DU CHATEAU,31430,POUY DE TOUGES,31,436,197,,0,,0,0,19970,0.0,1,0,0,0,0,0
19/01/2023,19/01/2023,160000.0,37,RUE,0080,DU MATET,31220,MARTRES TOLOSANE,31,324,223,,4,2,51,3,0,0.0,2,0,1,1,0,0
15/11/2023,15/11/2023,286110.0,,,B058,LES CARMES,31400,TOULOUSE,31,555,41,,0,,0,0,9537,0.0,3,0,0,0,0,0
15/11/2023,15/11/2023,406414.0,,,B055,COURBENAUSE,31590,VERFEIL,31,573,2824,,0,,72,3,2217,0.0,3,0,0,0,0,1
15/11/2023,15/11/2023,1.0,,,B053,GRAVES,31790,ST JORY,31,490,26,,0,,0,0,1120,0.0,1,0,0,0,0,0
