,date_mutation,valeur_fonciere,code_voie,code_postal,code_com,no_plan,nb_lot,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison,PE
0,2023-11-29,553500.0,0811,31770.0,149,62,9,67,3,0,0.0,3,0,1,1,0,0,17008.97189322706
1,2023-01-19,135000.0,0081,31620.0,202,1081,0,0,0,710,0.0,1,0,0,0,0,0,4148.52973005538
2,2023-10-13,270000.0,B067,31430.0,436,80,0,222,8,2410,0.0,2,0,0,0,0,1,8297.05946011076
3,2023-01-19,229230.0,0082,31700.0,56,443,0,67,3,138,0.0,1,0,0,0,0,1,7044.203481634036
4,2023-01-19,150000.0,0083,31230.0,239,517,0,184,9,1102,0.0,2,0,0,0,0,1,4609.477477839311
5,2023-10-19,384000.0,7582,31300.0,555,209,1,0,0,0,0.0,1,1,0,1,0,0,11800.262343268636
6,2023-10-13,135000.0,B066,31430.0,436,197,0,0,0,19970,0.0,1,0,0,0,0,0,4148.52973005538
7,2023-01-19,160000.0,0080,31220.0,324,223,4,51,3,0,0.0,2,0,1,1,0,0,4916.775976361932
8,2023-11-15,286110.0,B058,31400.0,555,41,0,0,0,9537,0.0,3,0,0,0,0,0,8792.117341230702
9,2023-11-15,406414.0,B055,31590.0,573,2824,0,72,3,2217,0.0,3,0,0,0,0,1,12489.04119785724
10,2023-11-15,1.0,B053,31790.0,490,26,0,0,0,1120,0.0,1,0,0,0,0,0,0.030729849852262077
11,2023-07-26,550000.0,B192,31500.0,555,503,0,0,0,102,0.0,1,0,0,0,0,0,16901.417418744142
12,2023-04-04,406000.0,1203,31120.0,433,241,2,65,3,0,0.0,2,0,1,1,0,0,12476.319040018403
13,2023-05-12,614000.0,7988,31100.0,555,88,0,143,5,964,0.0,2,0,0,1,0,1,18868.12780928891
14,2023-11-22,1.0,1580,31600.0,395,324,0,0,0,25,0.0,1,0,0,0,0,0,0.030729849852262077
15,2023-04-26,448500.0,5075,31100.0,555,325,2,64,3,0,64.49,2,0,1,1,0,0,13782.337658739541
16,2023-10-27,2200000.0,0807,31600.0,395,108,0,220,8,5084,0.0,4,0,0,1,0,1,67605.66967497657
17,2023-11-29,424000.0,0802,31770.0,149,32,7,63,3,0,63.66,4,0,1,1,0,0,13029.45633735912
18,2023-03-21,103400.0,8708,31200.0,555,285,1,53,2,0,54.49,1,0,1,0,0,0,3177.4664747238985
19,2023-12-18,214000.0,8452,31200.0,555,7,0,72,3,467,0.0,1,0,0,0,0,1,6576.187868384085
20,2023-01-19,112000.0,0091,31130.0,44,257,1,35,2,0,35.06,1,0,1,0,0,0,3441.7431834533522
21,2023-02-01,645000.0,2600,31300.0,555,427,5,64,3,0,64.04,3,0,1,1,0,0,19820.75315470904
22,2023-01-03,375000.0,0338,31270.0,157,598,3,64,3,0,0.0,3,0,1,1,0,0,11523.693694598278
23,2023-11-15,1954000.0,B063,31300.0,555,91,3,0,0,65235,0.0,17,1,0,0,0,0,60046.1266113201
24,2023-10-13,16456.0,B059,31450.0,192,1014,0,0,0,187,0.0,2,0,0,0,0,0,505.6904091688247
25,2023-07-28,558000.0,7320,31000.0,555,62,3,40,2,0,43.67,3,0,1,1,0,0,17147.256217562237
26,2023-09-22,418500.0,0712,31770.0,149,819,0,99,4,406,0.0,1,0,0,0,0,1,12860.44216317168
27,2023-07-10,372000.0,7448,31400.0,555,115,2,64,3,0,0.0,2,0,1,1,0,0,11431.504145041494
28,2023-10-13,1802.0,B045,31800.0,247,428,0,0,0,1802,0.0,1,0,0,0,0,0,55.375189433776264
29,2023-10-13,2350.0,B044,31800.0,247,1781,0,0,0,2282,0.0,1,0,0,0,0,0,72.21514715281589
30,2023-11-23,330000.0,2975,31200.0,555,346,2,49,2,0,50.12,2,0,1,1,0,0,10140.850451246484
31,2023-01-04,279000.0,1712,31500.0,555,7,4,70,3,0,0.0,2,0,1,1,0,0,8573.628108781118
32,2023-11-27,312480.0,0693,31120.0,433,60,2,51,2,0,51.61,2,0,1,1,0,0,9602.463481834853
33,2023-11-15,65500.0,B032,31340.0,73,121,0,0,0,1481,0.0,2,0,0,0,0,0,2012.805165323166
34,2023-10-13,8202.0,B049,31800.0,247,55,0,0,0,2730,0.0,1,0,0,0,0,0,252.04622848825355
35,2023-10-13,251450.0,B047,31230.0,239,261,0,0,0,1142,0.0,1,0,0,0,0,0,7727.020745351299
36,2023-10-13,17000.0,B048,31800.0,247,2418,0,0,0,226,0.0,1,0,0,0,0,0,522.4074474884553
37,2023-03-24,287520.0,5052,31300.0,555,537,4,68,4,0,0.0,2,0,1,1,0,0,8835.446429522392
38,2023-10-13,144900.0,B034,31180.0,273,3661,0,0,0,506,0.0,1,0,0,0,0,0,4452.755243592775
39,2023-11-15,520000.0,B045,31520.0,446,115,0,129,6,486,0.0,1,0,0,0,0,1,15979.521923176279
40,2023-08-01,552645.0,4216,31500.0,555,3,5,73,4,0,71.45,3,0,1,1,0,0,16982.697871603377
41,2023-08-23,249000.0,8088,31400.0,555,470,2,49,3,0,44.05,2,0,1,1,0,0,7651.7326132132575
42,2023-10-13,191800.0,B036,31810.0,572,1005,0,0,0,755,0.0,2,0,0,0,0,0,5893.985201663866
43,2023-09-21,4270000.0,1940,31200.0,555,56,0,204,11,2730,0.0,7,0,1,1,0,0,131216.45886915908
44,2023-02-22,441600.0,5044,31100.0,555,108,4,0,0,0,0.0,4,1,0,0,0,0,13570.301694758931
45,2023-01-03,286250.0,0315,31270.0,588,299,0,87,4,302,0.0,1,0,0,0,0,1,8796.41952021002
46,2023-05-04,960000.0,1080,31170.0,557,407,0,131,5,3042,0.0,3,0,0,1,0,1,29500.655858171594
47,2023-03-24,102000.0,5044,31100.0,555,268,1,50,2,0,44.81,1,0,1,0,0,0,3134.4446849307315
48,2023-06-30,4800000.0,0286,31670.0,254,15,0,0,0,0,0.0,1,1,0,0,0,0,147503.27929085796
49,2023-12-18,118800.0,8402,31100.0,555,21,2,34,0,0,17.0,2,0,0,0,1,0,3650.706162448734
50,2023-12-29,290000.0,0664,31320.0,113,62,4,40,2,0,0.0,2,0,1,1,0,0,8911.656457156003
51,2023-03-07,614700.0,0391,31240.0,488,640,3,61,3,0,60.37,3,0,1,1,0,0,18889.638704185498
52,2023-06-30,432000.0,0281,31620.0,118,2580,2,94,4,0,0.0,2,0,1,1,0,0,13275.295136177216
53,2023-11-15,1200.0,B017,31360.0,50,103,0,0,0,600,0.0,1,0,0,0,0,0,36.87581982271449
54,2023-10-31,18000.0,2125,31500.0,555,105,1,0,0,0,0.0,1,0,0,1,0,0,553.1372973407173
55,2023-11-15,1000.0,B014,31160.0,461,231,0,0,0,2830,0.0,1,0,0,0,0,0,30.729849852262078
56,2023-11-15,1451335.0,B013,31480.0,209,1294,0,240,8,4404,0.0,4,0,0,1,0,1,44599.30663533278
57,2023-11-16,143000.0,8495,31300.0,555,87,1,67,2,0,67.24,1,0,1,0,0,0,4394.368528873476
58,2023-06-02,570000.0,5960,31200.0,555,278,5,53,2,0,0.0,3,0,1,1,0,0,17516.014415789385
59,2023-11-15,939200.0,B011,31380.0,388,11,0,128,4,2253,0.0,4,0,0,1,0,1,28861.474981244537
60,2023-12-29,449800.0,0670,31650.0,506,64,2,0,0,0,0.0,2,1,0,0,0,0,13822.286463547482
61,2023-11-15,7500.0,B010,31800.0,487,21,0,0,0,7325,0.0,3,0,0,0,0,0,230.47387389196558
62,2023-11-21,1050000.0,0140,31120.0,458,168,0,135,3,2052,0.0,3,0,0,1,1,1,32266.34234487518
63,2023-04-04,481800.0,1240,31650.0,506,221,2,0,0,0,47.15,2,1,0,0,0,0,14805.641658819868
64,2023-02-15,136500.0,2192,31000.0,555,356,2,60,0,0,50.08,1,0,0,0,1,0,4194.624504833773
65,2023-07-28,240480.0,7350,31100.0,555,77,0,93,4,114,0.0,1,0,0,0,0,1,7389.914292471984
66,2023-11-21,137789.61,0160,31140.0,467,120,0,70,0,203,0.0,1,0,0,0,1,0,4234.254026501749
67,2023-03-07,420000.0,0380,31340.0,584,592,0,146,4,312,0.0,3,0,1,0,1,0,12906.536937950072
68,2023-07-04,1711050.0,3376,31400.0,555,114,0,112,4,813,0.0,3,0,0,1,0,1,52580.30958971302
69,2023-10-25,1.0,0680,31470.0,187,188,0,0,0,10,0.0,1,0,0,0,0,0,0.030729849852262077
70,2023-06-30,210000.0,0290,31270.0,588,433,4,163,0,0,0.0,1,0,0,0,1,0,6453.268468975036
71,2023-11-15,644400.0,B029,31600.0,165,54,3,0,0,0,0.0,3,1,0,0,0,0,19802.31524479768
72,2023-03-07,894400.0,0384,31860.0,248,108,0,168,10,16108,0.0,4,0,0,1,0,1,27484.777707863203
73,2023-09-20,483660.0,0556,31240.0,488,24,0,130,6,796,0.0,1,0,0,0,0,1,14862.799179545076
74,2023-11-15,138000.0,B025,31290.0,37,152,0,75,4,430,0.0,1,0,0,0,0,1,4240.719279612166
75,2023-11-21,0.0,0157,31120.0,458,555,0,0,0,22581,0.0,7,0,0,0,0,0,0.0
76,2023-11-21,0.0,0155,31120.0,458,407,0,940,0,1711,0.0,1,0,0,0,1,0,0.0
77,2023-08-16,796725.0,5196,31400.0,555,204,3,81,4,0,0.0,3,0,1,1,0,0,24483.2396235435
78,2023-11-15,219420.0,B022,31270.0,203,444,0,0,0,143,0.0,1,0,0,0,0,0,6742.743654583343
79,2023-11-15,15.0,B021,31380.0,212,2192,0,0,0,8166,0.0,15,0,0,0,0,0,0.4609477477839311
80,2023-01-05,1.0,0501,31190.0,33,270,0,0,0,298,0.0,1,0,0,0,0,0,0.030729849852262077
81,2023-04-04,636000.0,1232,31300.0,555,388,2,0,0,0,0.0,2,1,0,0,0,0,19544.18450603868
82,2023-01-03,312000.0,0376,31500.0,555,486,4,57,3,0,0.0,2,0,1,1,0,0,9587.713153905766
83,2023-03-07,241000.0,0370,31850.0,389,102,2,45,2,0,45.82,2,0,1,1,0,0,7405.89381439516
84,2023-09-21,360000.0,1912,31200.0,555,57,2,55,3,0,0.0,2,0,1,1,0,0,11062.745946814348
85,2023-09-13,264000.0,6052,31500.0,555,7,4,70,3,0,72.58,2,0,1,1,0,0,8112.6803609971885
86,2023-06-06,272000.0,1034,31830.0,424,273,0,81,4,185,0.0,1,0,0,0,0,1,8358.519159815285
87,2023-03-14,480800.0,3200,31100.0,555,289,10,86,4,0,83.23,4,0,1,1,0,0,14774.911808967607
88,2023-06-02,380000.0,3324,31300.0,555,281,2,66,3,0,0.0,2,0,1,1,0,0,11677.342943859589
89,2023-09-21,333120.0,1916,31200.0,555,261,1,87,4,0,0.0,1,0,1,0,0,0,10236.727582785543
90,2023-10-20,50000.0,1584,31500.0,555,171,1,0,0,0,0.0,1,0,0,1,0,0,1536.4924926131037
91,2023-11-21,204000.0,0182,31270.0,203,512,4,37,2,0,37.03,2,0,1,1,0,0,6268.889369861463
92,2023-10-13,382000.0,B076,31870.0,263,1112,0,0,0,244,0.0,2,0,0,0,0,0,11738.802643564111
93,2023-09-15,2160000.0,8892,31300.0,555,360,5,142,6,0,0.0,4,0,1,1,0,0,66376.47568088608
94,2023-10-13,10000.0,B072,31230.0,363,156,0,0,0,1448,0.0,1,0,0,0,0,0,307.2984985226208
95,2023-11-15,1200.0,B004,31360.0,50,42,0,0,0,2307,0.0,1,0,0,0,0,0,36.87581982271449
96,2023-01-05,213794.0,0520,31000.0,555,412,2,28,1,0,26.22,2,0,1,1,0,0,6569.857519314518
97,2023-05-09,154000.0,0189,31560.0,396,1615,2,42,2,0,41.57,2,0,1,1,0,0,4732.3968772483595
98,2023-09-13,344000.0,6064,31200.0,555,339,4,56,3,0,55.78,2,0,1,1,0,0,10571.068349178156
99,2023-09-20,530000.0,0570,31600.0,395,95,0,92,3,2776,0.0,2,0,0,1,0,1,16286.820421698902
100,2023-04-04,690000.0,1210,31170.0,557,2216,0,110,5,2384,0.0,2,0,0,1,0,1,21203.596398060832
101,2023-03-02,1543400.0,1290,31110.0,42,113,0,160,6,1855,0.0,5,0,1,1,0,0,47428.45026198129
102,2023-04-17,427200.0,4616,31400.0,555,172,2,0,0,0,0.0,2,1,0,0,0,0,13127.791856886359
103,2023-02-06,108720.0,1772,31500.0,555,226,1,33,2,0,32.81,1,0,1,0,0,0,3340.9492759379327
104,2023-09-22,421574.0,0740,31240.0,488,229,2,149,7,775,58.33,3,0,1,1,0,1,12954.905721617532
105,2023-09-22,905175.0,0741,31320.0,113,33,3,100,4,0,90.62,3,0,1,1,0,0,27815.891840021326
106,2023-04-05,806700.0,0015,31150.0,230,244,3,0,0,0,0.0,3,1,0,0,0,0,24789.769875819817
107,2023-04-17,527700.0,4652,31500.0,555,397,2,49,2,0,0.0,2,0,1,1,0,0,16216.141767038698
108,2023-04-05,640036.6,0010,31350.0,531,91,0,300,15,6280,0.0,3,0,0,0,0,1,19668.228617952318
109,2023-06-30,135000.0,0240,31150.0,91,324,0,88,4,569,0.0,1,0,0,0,0,1,4148.52973005538
110,2023-06-27,285000.0,A100,31840.0,541,665,5,31,1,0,0.0,3,0,1,1,0,0,8758.007207894692
111,2023-06-01,709350.0,4540,31500.0,555,378,5,82,5,0,0.0,3,0,1,1,0,0,21798.2189927021
112,2023-07-04,260760.0,5920,31200.0,555,141,1,0,0,0,0.0,1,1,0,0,0,0,8013.11564747586
113,2023-03-23,15100.0,6262,31200.0,555,37,1,0,0,0,0.0,1,0,0,1,0,0,464.02073276915735
114,2023-04-07,360000.0,0160,31380.0,228,1313,0,0,0,1177,0.0,2,0,0,0,0,0,11062.745946814348
115,2023-11-02,1465000.0,6280,31000.0,555,176,7,124,5,0,56.53,5,0,1,1,0,0,45019.230033563945
116,2023-09-06,294701.0,3160,31300.0,555,39,1,70,4,0,92.72,1,0,0,0,0,1,9056.117481311487
