name,description,Latitude,Longitude
1 a Rue Cabassole 84000 Avignon,1 place(s) PMR,43.950674,4.814236
1 Allée de l'Oulle 84000 Avignon,1 place(s) PMR,43.949309,4.80052
1 Allée de l'Oulle 84000 Avignon,1 place(s) PMR,43.949384,4.800575
1 Allée de l'Oulle 84000 Avignon,1 place(s) PMR,43.949359,4.800557
1 Allée de l'Oulle 84000 Avignon,1 place(s) PMR,43.949335,4.800541
1 Allée de l'Oulle 84000 Avignon,1 place(s) PMR,43.949328,4.800372
1 Allée de l'Oulle 84000 Avignon,1 place(s) PMR,43.949303,4.800354
1 Allée de l'Oulle 84000 Avignon,1 place(s) PMR,43.949276,4.800334
1 f Route de Montfavet 84000 Avignon,1 place(s) PMR,43.944195,4.817467
1 f Route de Montfavet 84000 Avignon,1 place(s) PMR,43.944171,4.817439
1 Place Louis Pasteur 84000 Avignon,1 place(s) PMR,43.949343,4.814681
1 Rue Félicien David 84000 Avignon,1 place(s) PMR,43.948995,4.805615
1 Rue Frédèric Mistral 84000 Avignon,1 place(s) PMR,43.945808,4.806539
1 Rue Martin Luther King 84000 Avignon,1 place(s) PMR,43.943636,4.797542
1 Rue Martin Luther King 84000 Avignon,1 place(s) PMR,43.943616,4.797508
1 Rue Viala 84000 Avignon,1 place(s) PMR,43.94807,4.805643
1 Rue Viala 84000 Avignon,1 place(s) PMR,43.948076,4.805596
2 a Rue Henri Fabre 84000 Avignon,1 place(s) PMR,43.945081,4.805926
3 Rue Martin Luther King 84000 Avignon,1 place(s) PMR,43.943107,4.796988
3 Rue Pourquery de Boisserin 84000 Avignon,1 place(s) PMR,43.946425,4.805283
3 Rue Pourquery de Boisserin 84000 Avignon,1 place(s) PMR,43.946426,4.805344
3 Rue Saint Bernard 84000 Avignon,1 place(s) PMR,43.950595,4.817214
4 bis Rue du Rempart de la Ligne 84000 Avignon,1 place(s) PMR,43.953261,4.81051
4 Place de la Pignotte 84000 Avignon,1 place(s) PMR,43.948101,4.811403
4 Place Francois Truffaut 84000 Avignon,1 place(s) PMR,43.943219,4.816071
4 Place Francois Truffaut 84000 Avignon,1 place(s) PMR,43.943199,4.816037
4 Place Saint-joseph 84000 Avignon,1 place(s) PMR,43.952336,4.81188
4 Rue de la Petite Fusterie 84000 Avignon,1 place(s) PMR,43.949023,4.804137
4 Rue de la Petite Fusterie 84000 Avignon,1 place(s) PMR,43.949065,4.804145
4 Rue de la République 84000 Avignon,1 place(s) PMR,43.94834,4.805836
4 Rue des Escaliers Sainte Anne 84000 Avignon,1 place(s) PMR,43.951295,4.808814
4 Rue du Portail Boquier 84000 Avignon,1 place(s) PMR,43.944809,4.805011
4 Rue du Rempart du Rhône 84000 Avignon,1 place(s) PMR,43.950816,4.802832
5 Rue Londe 84000 Avignon,1 place(s) PMR,43.945657,4.81347
6 Rue du Rempart Saint-lazare 84000 Avignon,1 place(s) PMR,43.95338,4.812274
7 Avenue du 7e Génie 84000 Avignon,1 place(s) PMR,43.943022,4.809158
8 Rue de la Carreterie 84000 Avignon,1 place(s) PMR,43.949873,4.812771
9 a Rue Notre Dame des 7 Douleurs 84000 Avignon,1 place(s) PMR,43.948502,4.815855
9 Place des Carmes 84000 Avignon,1 place(s) PMR,43.950445,4.81291
9 Rue Saint André 84000 Avignon,1 place(s) PMR,43.947603,4.801515
9 Rue Saint-joseph 84000 Avignon,1 place(s) PMR,43.952805,4.813181
9 Rue Théodore Aubanel 84000 Avignon,1 place(s) PMR,43.946981,4.806329
9 Rue Violette 84000 Avignon,1 place(s) PMR,43.945047,4.803566
10 Rue du Persil 84000 Avignon,1 place(s) PMR,43.951936,4.814493
10 Rue Emile Fournier 84000 Avignon,1 place(s) PMR,43.951119,4.810229
11 Rue du College de la Croix 84000 Avignon,1 place(s) PMR,43.946882,4.808685
12 Rue de la Velouterie 84000 Avignon,1 place(s) PMR,43.945501,4.799413
13 Rue Buffon 84000 Avignon,1 place(s) PMR,43.947604,4.815969
15 Boulevard Raspail 84000 Avignon,1 place(s) PMR,43.944464,4.803649
15 Rue Thiers 84000 Avignon,1 place(s) PMR,43.947597,4.812056
16 Rue Saint Charles 84000 Avignon,1 place(s) PMR,43.943401,4.80338
17 Rue Buffon 84000 Avignon,1 place(s) PMR,43.94733,4.815802
18 Rue Pétramale 84000 Avignon,1 place(s) PMR,43.945868,4.809212
19 Rue Buffon 84000 Avignon,1 place(s) PMR,43.947286,4.815785
20 Rue de la Petite Fusterie 84000 Avignon,1 place(s) PMR,43.95009,4.804483
22 Boulevard Raspail 84000 Avignon,1 place(s) PMR,43.944686,4.802163
22 Boulevard Raspail 84000 Avignon,1 place(s) PMR,43.944718,4.802165
22 Rue Ferruce 84000 Avignon,1 place(s) PMR,43.952908,4.805973
22 Rue Ferruce 84000 Avignon,1 place(s) PMR,43.952885,4.805987
23 Rue Ninon Vallin 84000 Avignon,1 place(s) PMR,43.943954,4.814255
24 Rue Guillaume Puy 84000 Avignon,1 place(s) PMR,43.948495,4.814389
25 Place des Carmes 84000 Avignon,1 place(s) PMR,43.950927,4.812879
26 Rue de la République 84000 Avignon,1 place(s) PMR,43.945448,4.805562
27 Rue du 58e Regiment d'Infanterie 84000 Avignon,1 place(s) PMR,43.945789,4.816262
27 Rue Paul Manivet 84000 Avignon,1 place(s) PMR,43.94375,4.808772
27 Rue Paul Manivet 84000 Avignon,1 place(s) PMR,43.943786,4.808741
27 Rue-des-infirmières 84000 Avignon,1 place(s) PMR,43.951348,4.813448
28 Rue de la Palapharnerie 84000 Avignon,1 place(s) PMR,43.953269,4.811852
28 Rue du Rempart Saint-lazare 84000 Avignon,1 place(s) PMR,43.95294,4.814429
29 bis Rue des Lices 84000 Avignon,1 place(s) PMR,43.945712,4.811174
29 Boulevard Raspail 84000 Avignon,1 place(s) PMR,43.944593,4.800615
31 Boulevard Raspail 84000 Avignon,1 place(s) PMR,43.944595,4.800565
32 bis Rue du Rempart Saint-lazare 84000 Avignon,1 place(s) PMR,43.952844,4.814785
32 Boulevard Raspail 84000 Avignon,1 place(s) PMR,43.944672,4.800515
32 Rue du Limas 84000 Avignon,1 place(s) PMR,43.951414,4.804129
32 Rue Joseph Vernet 84000 Avignon,1 place(s) PMR,43.948627,4.803401
33 bis Rue Louis Pasteur 84000 Avignon,1 place(s) PMR,43.949383,4.816025
33 Rue Notre Dame des 7 Douleurs 84000 Avignon,1 place(s) PMR,43.94714,4.817262
35 Rue du Portail Magnanen 84000 Avignon,1 place(s) PMR,43.944352,4.810809
37 Rue d'Annanelle 84000 Avignon,1 place(s) PMR,43.946913,4.799813
37 Rue Louis Pasteur 84000 Avignon,1 place(s) PMR,43.949542,4.816967
39 bis Rue Saint-christophe 84000 Avignon,1 place(s) PMR,43.945242,4.815345
41 Cours Jean Jaurès 84000 Avignon,1 place(s) PMR,43.944923,4.805631
41 Rue de la Carreterie 84000 Avignon,1 place(s) PMR,43.950414,4.813826
41 Rue Guillaume Puy 84000 Avignon,1 place(s) PMR,43.94675,4.814372
41 Rue Guillaume Puy 84000 Avignon,1 place(s) PMR,43.946747,4.814418
41 Rue Joseph Vernet 84000 Avignon,1 place(s) PMR,43.947721,4.803279
41 Rue Thiers 84000 Avignon,1 place(s) PMR,43.946912,4.815438
46 Boulevard Raspail 84000 Avignon,1 place(s) PMR,43.944715,4.798988
46 Rue de la Carreterie 84000 Avignon,1 place(s) PMR,43.950496,4.814133
48 Rue des Lices 84000 Avignon,1 place(s) PMR,43.945165,4.809901
53 bis Rue de la Banasterie 84000 Avignon,1 place(s) PMR,43.95197,4.809472
57 Rue de la Banasterie 84000 Avignon,1 place(s) PMR,43.952479,4.80978
63 Rue du Portail Magnanen 84000 Avignon,1 place(s) PMR,43.943633,4.812572
65 Rue Joseph Vernet 84000 Avignon,1 place(s) PMR,43.947021,4.803349
71 Rue Guillaume Puy 84000 Avignon,1 place(s) PMR,43.94527,4.814129
