SPECTACLES,ARTISTES,LIEUX,,TARIF,PAGE,,"SAM
5","DIM
6","LUN
7","MAR
8","MER
9","JEU
10","VEN
11","SAM
12","DIM
13","LUN
14","MAR
15","MER
16","JEU
17","VEN
18","SAM
19","DIM
20","LUN
21","MAR
22","MER
23","JEU
24","VEN
25","SAM
26"
,,,,,,,19h,19h,,,,,,,,,,,,,,,,,,,,
When I Saw the Sea,Ali Chahrour,La FabricA du Festival d’Avignon,1h10,C,13,,13h,13h,13h,13h,,,,,,,,,,,,,,,,,,
,,,,,,,18h,,17h,17h,17h,17h,17h,17h,,17h,17h,17h,,,,,,,,,,
NÔT,Marlene Monteiro Freitas,Cour d’honneur du palais des Papes,1h45,F,15,,22h,22h,,22h,22h,22h,22h,,,,,,,,,,,,,,,
,,,,,,,,11h17h,11h17h,11h17h,,,,,,,,,,,,,,,,,,
Item,"Théâtre du Radeau, François Tanguy",Gymnase du lycée Mistral,1h30,C,17,,,12h,12h,12h18h,,,,,,,,,,,,,,,,,,
,,,,,,,,18h,18h,18h,18h,,,,,,,,,,,,,,,,,
Laaroussa Quartet,Selma & Sofiane Ouissi,La FabricA du Festival d’Avignon,1h,C,19,,,19h,19h,19h,,,,,,,,,,,,,,,,,,
,,,,,,,,22h,22h,,22h,22h,22h,,22h,22h,22h,,22h,22h,22h,22h,,,,,,
La Distance,Tiago Rodrigues,L’Autre Scène du Grand Avignon – Vedène,1h47,D,21,,,,12h,12h,12h,,12h,12h,12h,12h,12h,12h,,12h,12h,12h,12h,12h,12h,,12h,12h
Magec / the Desert,Radouan Mriziga,Cloître des Célestins,1h30,C,22,,,,22h,22h,22h,,22h,22h,,,,,,,,,,,,,,
Delirious Night,Mette Ingvartsen,Cour du lycée Saint-Joseph,1h,C,23,,,,22h,22h,,22h,22h,22h,,,,,,,,,,,,,,
Prélude de Pan,Clara Hédouin,Festival Villeneuve en Scène,2h,A,24,,,,,18h30,18h30,18h30,18h30,18h30,18h30,,18h30,18h30,18h30,18h30,18h30,18h30,,,,,,
Coin Operated,Jonas&Lander,Le Mahabharata – Bar du Festival,50min,A,25,,,,,20h22h30,20h22h30,20h22h30,20h,20h22h30,,,,,,,,,,,,,,
LA LETTRE,Milo Rau,Spectacle itinérant,1h15,A/C,26,,,,,21h,20h,12h30,21h,22h,,20h,21h,21h,20h,20h,21h,,21h,20h,21h,21h,20h,21h
