SPECTACLES;ARTISTES;LIEUX;TEMPS;TARIF;PAGE;;SAM_5;DIM_6;LUN_7;MAR_8;MER_9;JEU_10;VEN_11;SAM_12;DIM_13;LUN_14;MAR_15;MER_16;JEU_17;VEN_18;SAM_19;DIM_20;LUN_21;MAR_22;MER_23;JEU_24;VEN_25;SAM_26
They always come back;Bouchra Ouizguen;Cour d'honneur du palais des Papes;45min ;/;12;;19h;19h;;;;;;;;;;;;;;;;;;;;
When I Saw the Sea;Ali Chahrour;La FabricA du Festival d'Avignon;1h10;C;13;;13h;13h;13h;13h;;;;;;;;;;;;;;;;;;
Le Canard sauvage;Thomas Ostermeier;Opéra Grand Avignon;3h;E;14;;18h;;17h;17h;17h;17h;17h;17h;;17h;17h;17h;;;;;;;;;;
NOT;Marlene Monteiro Freitas;Cour d'honneur du palais des Papes;1h45;F;15;;22h;22h;;22h;22h;22h;22h;;;;;;;;;;;;;;;
Fusees;Jeanne Candel;Théâtre Benoît-XII;55min;C;16;;;11h_17h;11h_17h;11h_17h;;;;;;;;;;;;;;;;;;
Item;Theatre du Radeau, Francois Tanguy;Gymnase du lycée Mistral;1h30;C;17;;;12h;12h;12h_18h;;;;;;;;;;;;;;;;;;
Nexus de l adoration;Joris Lacoste;Gymnase du lycée Aubanel;2h15;C;18;;;18h;18h;18h;18h;;;;;;;;;;;;;;;;;
Laaroussa Quartet;Selma & Sofiane Ouissi;La FabricA du Festival d'Avignon;1h;C;19;;;19h;19h;19h;;;;;;;;;;;;;;;;;;
BREL;Anne Teresa De Keersmaeker, Solal Mariotte;Carrière de Boulbon;1h30;D;20;;;22h;22h;;22h;22h;22h;;22h;22h;22h;;22h;22h;22h;22h;;;;;;
La Distance;Tiago Rodrigues;L'Autre Scène du Grand Avignon – Vedène;1h47;D;21;;;;12h;12h;12h;;12h;12h;12h;12h;12h;12h;;12h;12h;12h;12h;12h;12h;;12h;12h
Magec / the Desert;Radouan Mriziga;Cloître des Célestins;1h30;C;22;;;;22h;22h;22h;;22h;22h;;;;;;;;;;;;;;
Delirious Night;Mette Ingvartsen;Cour du lycée Saint-Joseph;1h;C;23;;;;22h;22h;;22h;22h;22h;;;;;;;;;;;;;;
Prelude de Pan;Clara Hedouin;Festival Villeneuve en Scène;2h;A;24;;;;;18h30;18h30;18h30;18h30;18h30;18h30;;18h30;18h30;18h30;18h30;18h30;18h30;;;;;;
Coin Operated;Jonas&Lander;Mahabharata – Bar du Festival;50min;A;25;;;;;20h_22h30;20h_22h30;20h_22h30;20h;20h_22h30;;;;;;;;;;;;;;
LA LETTRE;Milo Rau;Spectacle itinérant;1h15;A/C;26;;;;;21h;20h;12h30;21h;22h;;20h;21h;21h;20h;20h;21h;;21h;20h;21h;21h;20h;21h
Demonter les remparts pour finir le pont;Gwenael Morin;Jardin de la rue de Mons – Maison Jean Vilar;1h45;C;28;;;;;22h;22h;;22h;22h;22h;;22h;22h;22h;22h;22h;22h;;22h;22h;22h;22h;
Vive le sujet ! Tentatives Serie 1;Olga Dukhovna, Wael Kadour;Jardin de la Vierge du lycée Saint-Joseph;1h30;B;29;;;;;;10h30_18h;10h30_18h;10h30_18h;10h30_18h;;;;;;;;;;;;;;
Affaires Familiales;Emilie Rousset;Chartreuse de Villeneuve lez Avignon;2h30;C;30;;;;;;18h;18h;18h;18h;18h;;18h;18h;18h;;;;;;;;;
Every-body-knows-what-tomorrow-brings-and-we-all-know-what-happened-yesterday;Mohamed Toukabri;Les Hivernales – CDCN d'Avignon;1h15;B;31;;;;;;;10h;10h;10h;10h;10h;;10h;10h;10h;10h;10h;;;;;;
Israel & Mohamed;Israel Galvan, Mohamed El Khatib;Cloître des Carmes;1h15;D;32;;;;;;;22h;22h;22h;22h;;22h;22h;22h;;22h;22h;22h;22h;22h;;;
Par autan;Theatre du Radeau, Francois Tanguy;Gymnase du lycée Mistral;1h30;C;33;;;;;;;;;12h;12h_18h;12h;;;;;;;;;;;;
