SPECTACLES,ARTISTES,LIEUX,TEMPS,TARIF,SAM_5,DIM_6,LUN_7,MAR_8,MER_9,JEU_10,VEN_11,SAM_12,DIM_13,LUN_14,MAR_15,MER_16,JEU_17,VEN_18,SAM_19,DIM_20,LUN_21,MAR_22,MER_23,JEU_24,VEN_25,SAM_26,address,latitude,longitude
They always come back,Bouchra Ouizguen,Cour d'honneur du palais des Papes,45min ,/,19h,19h,,,,,,,,,,,,,,,,,,,,,Place du Palais 84000 Avignon,43.950612,4.807351
When I Saw the Sea,Ali Chahrour,La FabricA du Festival d'Avignon,1h10,C,13h,13h,13h,13h,,,,,,,,,,,,,,,,,,,11 rue Paul Achard 84000 Avignon,43.934772,4.797077
Le Canard sauvage,Thomas Ostermeier,Opéra Grand Avignon,3h,E,18h,,17h,17h,17h,17h,17h,17h,,17h,17h,17h,,,,,,,,,,,place de l'Horloge 84000 Avignon,43.94974,4.80573
NOT,Marlene Monteiro Freitas,Cour d'honneur du palais des Papes,1h45,F,22h,22h,,22h,22h,22h,22h,,,,,,,,,,,,,,,,Place du Palais 84000 Avignon,43.950612,4.807351
Fusees,Jeanne Candel,Théâtre Benoît-XII,55min,C,,11h_17h,11h_17h,11h_17h,,,,,,,,,,,,,,,,,,,12 rue des Teinturiers 84000 Avignon,43.94509,4.81299
Item,"Theatre du Radeau, Francois Tanguy",Gymnase du lycée Mistral,1h30,C,,12h,12h,12h_18h,,,,,,,,,,,,,,,,,,,20 boulevard Raspail 84000 Avignon,43.9455,4.80206
Nexus de l adoration,Joris Lacoste,Gymnase du lycée Aubanel,2h15,C,,18h,18h,18h,18h,,,,,,,,,,,,,,,,,,14 rue Palapharnerie 84000 Avignon,43.952393,4.811959
Laaroussa Quartet,Selma & Sofiane Ouissi,La FabricA du Festival d'Avignon,1h,C,,19h,19h,19h,,,,,,,,,,,,,,,,,,,11 rue Paul Achard 84000 Avignon,43.934772,4.797077
BREL,"Anne Teresa De Keersmaeker, Solal Mariotte",Carrière de Boulbon,1h30,D,,22h,22h,,22h,22h,22h,,22h,22h,22h,,22h,22h,22h,22h,,,,,,,Carrière de Boulbon 13150 Boulbon,43.885877,4.706206
La Distance,Tiago Rodrigues,L'Autre Scène du Grand Avignon – Vedène,1h47,D,,,12h,12h,12h,,12h,12h,12h,12h,12h,12h,,12h,12h,12h,12h,12h,12h,,12h,12h,Avenue Pierre de Coubertin 84270 Vedène,43.97919,4.90862
Magec / the Desert,Radouan Mriziga,Cloître des Célestins,1h30,C,,,22h,22h,22h,,22h,22h,,,,,,,,,,,,,,,place des Corps-Saints 84000 Avignon,43.94393,4.80776
Delirious Night,Mette Ingvartsen,Cour du lycée Saint-Joseph,1h,C,,,22h,22h,,22h,22h,22h,,,,,,,,,,,,,,,62 rue des Lices 84000 Avignon,43.94576,4.81144
Prelude de Pan,Clara Hedouin,Festival Villeneuve en Scène,2h,A,,,,18h30,18h30,18h30,18h30,18h30,18h30,,18h30,18h30,18h30,18h30,18h30,18h30,,,,,,,"Plaine de l'Abbaye, 30400 Villeneuve-lès-Avignon",43.96445,4.802611
Coin Operated,Jonas&Lander,Mahabharata – Bar du Festival,50min,A,,,,20h_22h30,20h_22h30,20h_22h30,20h,20h_22h30,,,,,,,,,,,,,,,"10 rue des Teinturiers, 84000 Avignon",43.944988,4.813728
LA LETTRE,Milo Rau,Spectacle itinérant,1h15,A/C,,,,21h,20h,12h30,21h,22h,,20h,21h,21h,20h,20h,21h,,21h,20h,21h,21h,20h,21h,,,
