video_id,title,publishedAt,channelId,description,view_count,like_count,favorite_count,comment_count,tags,defaultLanguage
3zUvIuOGFqY,"Machine Learning Made Easy on Kubernetes. DevOps for Data Scientists - Brian Redmond, Microsoft",2019-10-02T02:59:23Z,UCfX55Sx5hEFjoC3cNs6mCUQ,"Machine Learning Made Easy on Kubernetes. DevOps for Data Scientists - Brian Redmond, Microsoft

Though machine learning and AI are immensely powerful, these solutions are by no means easy. In many cases, there are many diverse components that are not designed to work together. Additionally, these models are most efficient when running on large scale clusters that can be more difficult to manage. Configuration and deployment is often left to data scientists who are wasting time on infrastructure and not on data science itself.Kubernetes to the rescue! In this session I will talk about how machine learning can be greatly improved by implementing ML solutions on top of Kubernetes with containers. I will be discussing each stage of a typical workflow including: data preparation/versioning, model training, testing and validation, monitoring, and CI/CD and automation. Demos will include tooling such as Tensorflow/Kubeflow, Pachyderm, Argo, etc.This talk is for both data scientists and infrastructure/SRE teams alike helping bring the benefits of DevOps to AI and machine learning.",1818,34,0,N/A,,N/A
Q5Syi14rv2c,The State of AI and Machine Learning Operations in 2019 - Alejandro Saucedo,2019-07-16T00:35:36Z,UCvqbFHwN-nwalWPjPUKpvTA,"Join us for Kubernetes Forums Seoul, Sydney, Bengaluru and Delhi - learn more at kubecon.io

Don't miss KubeCon + CloudNativeCon 2020 events in Amsterdam March 30 - April 2, Shanghai July 28-30 and Boston November 17-20! Learn more at kubecon.io. The conference features presentations from developers and end users of Kubernetes, Prometheus, Envoy, and all of the other CNCF-hosted projects

The State of AI and Machine Learning Operations in 2019 - Alejandro Saucedo, The Institute for Ethical AI & Machine Learning 

This talk will provide key insights on the learnings I have obtained throughout my career building and deploying machine learning systems, together with some of the technologies available in the open source ""Awesome DataOps / Machine Learning Operations"" list. I will be mainly covering the open source tools and frameworks available in 2019 to help you expand your DataOps and MLOps infrastructure. This talk will cover the technologies available to support specifically around reproducibility, monitoring, compliance and orchestration of data and computations. The main technologies that will be covered include PMML, Data Version Control (DVC), ModelDB, Pachyderm and Seldon. 

https://sched.co/Nrw1",1244,28,0,1,,N/A
8m62o1U3XYk,GCP Fundamentals Part -3 | Google Container engine GKE | GCP Big data | GCP Machine Learning,2020-05-31T13:30:02Z,UC3wpx987p-cL7ktfkDjnBoA,"Google Kubernetes Engine (also known as GKE) is a cluster manager and orchestration system for running Docker containers in the cloud. It is a production-ready environment with guaranteed uptime, load balancing and included container networking features.

Google uses the data from its Web index to initially match queries with potentially useful results. This is augmented with data from trusted sources and other sites that have been ranked for accuracy by machine‐learning algorithms designed to assess the reliability of data

The cloud makes intelligent capabilities accessible without requiring advanced skills in artificial intelligence or data science. AWS, Microsoft Azure, and Google Cloud Platform offer many machine learning options that don't require deep knowledge of AI, machine learning theory, or a team of data scientists. #devops",74,4,0,0,"tutorialspoint, google cloud platform, big data, google cloud, cloud computing, machine learning, Google Cloud Platform Fundamentals, GCP Big data, GCP Machine Learning, Google Container engine GKE, google cloud platform tutorial, google cloud platform services, what is gcp app engine, google cloud platform services overview, big data analytics, gcp big data platform, gcp big data products, gcp big data solutions, gcp big data tutorial, how to use gcp for machine learning",N/A
bRyACb5AV6o,"Kubernetes, Data Science and Machine Learning",2019-08-21T15:31:25Z,UCSOBt9qe3u5-TtIK1pgeCdQ,"Enabling support for data processing, data analytics, and machine learning workloads in Kubernetes has been one of the goals of the open-source community. During this meetup, we’ll discuss the growing use of Kubernetes for data science and machine learning workloads. We’ll examine how new Kubernetes extensibility features such as custom resources and custom controllers are used for applications and frameworks integration. Apache Spark 2.3.’s native support is the latest indication of this growing trend. We’ll demo a few examples of data science workloads running on Kubernetes clusters setup by our Kublr platform.",127,1,0,0,"kubernetes, data science, machine learning",N/A
fNv48vW94kM,Docker and Kubernetes for Data Science,2019-10-08T07:00:06Z,UCwBs8TLOogwyGd0GxHCp-Dw,"#datascience #kubernetes #docker

Docker is the most popular container environment and kubernetes platform for orchestrating containers. There are 3 major areas where Docker and Kubernetes can help accelerate data science initiatives

1.Infrastructure 
2.Tooling and Reproducible
3.Deployment and Scaling

Benefits for Data Science project include

- Efficient usage of infrastructure
- Bring in parity between development and production
- Manage multiple versions of tools efficiently
- Seamless scaling to meet business demand
- Ease of migration of models to production
- Zero downtime deployment",7520,182,0,9,"AI, Artificial Intelligence, Machine learning, ML, Dev Ops, Data Engineering, Cloud, Data science, datascience, kubernetes, docker, devops, yt:cc=on, infrastructure",N/A
YOQA7oUxoR0,"Containerized Architectures for Deep Learning using TensorFlow, Keras, Kubernetes, and KubeFlow",2019-10-24T02:53:01Z,UCvlZKtekcKkBUuz8f9dhobw,"Container and cloud native technologies around Kubernetes have become the de facto standard in modern ML and AI application development. And while many data scientists and engineers tend to focus on tools, the platform that enables these tools is equally important and often overlooked.

Speakers:  
Antje Barth
https://www.linkedin.com/in/antje-barth/

Chris Fregly
https://www.linkedin.com/in/cfregly/

Let’s examine some common architecture blueprints and popular technologies used to integrate AI into existing infrastructures, and learn how you can build a production-ready containerized platform for deep learning.
In particular, she explores Docker and Kubernetes, with its associated cloud native technologies, and its use and advantages in ML/AI environments.

Eventbrite:

https://www.eventbrite.com/e/1-hr-free-workshop-pipelineai-gpu-tpu-spark-ml-tensorflow-ai-kubernetes-kafka-scikit-tickets-45852865154

Meetup:

https://www.meetup.com/Advanced-KubeFlow/

Zoom:

https://zoom.us/j/690414331
Webinar ID: 690 414 331

Phone:

+1 646 558 8656 (US Toll) or +1 408 638 0968 (US Toll)

Related Links

PipelineAI Home: https://pipeline.ai

PipelineAI Community Edition: https://community.pipeline.ai

PipelineAI GitHub: https://github.com/PipelineAI/pipeline

PipelineAI Quick Start: https://quickstart.pipeline.ai

Advanced KubeFlow Meetup (SF-based, Global Reach): https://www.meetup.com/Advanced-KubeFlow/

YouTube Videos: https://youtube.pipeline.ai

SlideShare Presentations: https://slideshare.pipeline.ai

Slack Support:
https://joinslack.pipeline.ai

Email Support: support@pipeline.ai",2506,62,0,0,"kubernetes, kubeflow, tensorflow, artificial intelligence, machine learning, pytorch, keras, docker, container, deep learning",en
X6a_-mb5AKg,Making Docker & Python Play Nicely and Securely for Machine Learning & Data Science - Tania Allard,2020-11-19T20:15:11Z,UCBhXFK70DbOU15N2BhDQVTg,"Presented by: Tania Allard, PhD, Microsoft
Presented at All Things Open 2020 - Big Data Track

Abstract: Docker has become a standard tool for developers around the world to deploy applications in a reproducible and robust manner. The existence of Docker and Docker compose have reduced the time needed to set up new software and implementing complex technology stacks for our applications.

Now, six years after the initial release of Docker, we can say with confidence that containers and containers orchestration have become some of the defaults in the current technology stacks.

There are thousands of tutorials and getting started documents for those wanting to adopt Docker for apps deployment. However, if you are a Data Scientist, a researcher or someone working on scientific computing wanting to adopt Docker, the story is quite different. There are very few tutorials (in comparison to app/web) and documents focused on Docker best practices for DS and scientific computing. If you are working on DS, ML or scientific computing, this talk is for you. We'll cover best practices when building Docker containers for data-intensive applications, from optimising your image build, to ensuring your containers are secure and efficient deployment workflows. We will talk about the most common problems faced while using Docker with data-intensive applications and how you can overcome most of them. Finally, I'll give some practical and useful tips for you to improve your Docker workflows and practises.

Attendees will leave the talk feeling confident about adopting Docker across a range of DS, ML and research projects.",55,N/A,0,0,"all things open, open source, ato2020, technology, Big Data, Tania Allard PhD, Microsoft, docker, Data Scientist",N/A
Jb-XOfaCge8,Cloud OnAir: KubeFlow: Machine Learning + Kubernetes,2018-07-09T21:40:14Z,UCJS9pqu9BzkAMNTmzNMNhvg,"Machine Learning has evolved well past being a buzz word. As Google's businesses collect more data from more sources, the need to gain insightful data and perform meaningful analysis grows. There are many options available today to achieve this but their portability is often challenging. Today, many data scientists run their models on their laptops with a single GPU but when they outgrow this, they struggle to find ways to easily move their models to the cloud.  Kubeflow provides a way to load ML workloads into a Kubernetes cluster and easily move the jobs from one machine or cluster to a much larger environment.",2223,28,0,0,"Cloud OnAir, KubeFlow, Kubernetes, Machine Learning, IT Infrastructure",N/A
D5UapzyVx0c,"AI Engineering For DevOps, Platform, And Cloud",2025-01-13T20:54:57Z,UCJplKuiU76yYqlRmFv0Vbyg,"In this video, you'll learn where you can implement AI Engineering into DevOps, Platforms, and Cloud.

🆘🆘  NEED HELP WITH CLOUD-NATIVE?
https://linktr.ee/michaellevan

Want to be in a community with other like-minded cloud-native, DevOps, programming, and Platform Engineering people? Join the community for free: https://discord.gg/QHgtnEazrg

FOLLOW ME EVERYWHERE
---------------------------------------------------  
Twitter:  https://x.com/TheNJDevOpsGuy
LinkedIn: https://www.linkedin.com/in/michaellevan/
Bluesky: https://bsky.app/profile/mikelevan.bsky.social
Website: https://www.michaellevan.net/​​​​​


#cloud #kubernetes #platformengineering",619,13,0,0,"cloud, devops, devops engineer, platform engineer, AI, GenAI, LLM, microsoft mvp, azure, code, programming, learn to code",N/A
My2puqJVbI0,2021 Cloud Computing and Big Data Lecture 12 Docker and Container Management Part2 💻,2021-11-08T23:45:23Z,UCWC4VKHmL4NZgFfKoHtANKg,"2021 Cloud Computing and Big Data Lecture 12 Docker and Container Management - Part Two 💻

Parallel & Scalable Machine Learning & Deep Learning
16 university lectures with additional practical lectures for hands-on exercises in context
University of Iceland, School of Engineering and Natural Sciences
Faculty of Industrial Engineering, Mechanical Engineering and Computer Science

Fall 2021

Course Outline

1. Cloud Computing & Big Data Introduction
2. Machine Learning Models in Clouds
3. Apache Spark for Cloud Applications
4. Virtualization & Data Center Design
5. Map-Reduce Computing Paradigm
6. Deep Learning driven by Big Data
7. Deep Learning Applications in Clouds
8. Infrastructure-As-A-Service (IAAS)
9. Platform-As-A-Service (PAAS)
10. Software-As-A-Service (SAAS)
11. Big Data Analytics & Cloud Data Mining
12. Docker & Container Management
13. OpenStack Cloud Operating System
14. Online Social Networking & Graph Databases
15. Big Data Streaming Tools & Applications
16. Epilogue

Lecture Outline

Part One: Docker & Container Management
Cloud Service Challenge & Docker Container Example
Benefits of Virtualization vs. Container Orchestration Approaches
Kubernetes Container Orchestration using PyTorch for Deep Learning
AWS Container Services Landscape & Cookpad Application Example
Containerized Applications using AWS & MS Azure Cloud Services

Part Two: Advanced Container Concepts & Examples 
Containerized Applications in Google Cloud for Deep Learning
Machine & Deep Learning via Containers in IBM Cloud & Alibaba
UberCloud Containers with Packages & Cloud solutions for Engineers
Computational Fluid Dynamics (CFD) as HPC Cloud Simulation Example
Other Container Solutions such as Singularity & Mesos",68,0,0,0,,N/A
