video_id,title,publishedAt,channelId,description,view_count,like_count,favorite_count,comment_count,tags,defaultLanguage
3zUvIuOGFqY,"Machine Learning Made Easy on Kubernetes. DevOps for Data Scientists - Brian Redmond, Microsoft",2019-10-02T02:59:23Z,UCfX55Sx5hEFjoC3cNs6mCUQ,"Machine Learning Made Easy on Kubernetes. DevOps for Data Scientists - Brian Redmond, Microsoft

Though machine learning and AI are immensely powerful, these solutions are by no means easy. In many cases, there are many diverse components that are not designed to work together. Additionally, these models are most efficient when running on large scale clusters that can be more difficult to manage. Configuration and deployment is often left to data scientists who are wasting time on infrastructure and not on data science itself.Kubernetes to the rescue! In this session I will talk about how machine learning can be greatly improved by implementing ML solutions on top of Kubernetes with containers. I will be discussing each stage of a typical workflow including: data preparation/versioning, model training, testing and validation, monitoring, and CI/CD and automation. Demos will include tooling such as Tensorflow/Kubeflow, Pachyderm, Argo, etc.This talk is for both data scientists and infrastructure/SRE teams alike helping bring the benefits of DevOps to AI and machine learning.",1789,34,0,N/A,,N/A
fNv48vW94kM,Docker and Kubernetes for Data Science,2019-10-08T07:00:06Z,UCwBs8TLOogwyGd0GxHCp-Dw,"#datascience #kubernetes #docker

Docker is the most popular container environment and kubernetes platform for orchestrating containers. There are 3 major areas where Docker and Kubernetes can help accelerate data science initiatives

1.Infrastructure 
2.Tooling and Reproducible
3.Deployment and Scaling

Benefits for Data Science project include

- Efficient usage of infrastructure
- Bring in parity between development and production
- Manage multiple versions of tools efficiently
- Seamless scaling to meet business demand
- Ease of migration of models to production
- Zero downtime deployment",7456,182,0,9,"AI, Artificial Intelligence, Machine learning, ML, Dev Ops, Data Engineering, Cloud, Data science, datascience, kubernetes, docker, devops, yt:cc=on, infrastructure",N/A
bRyACb5AV6o,"Kubernetes, Data Science and Machine Learning",2019-08-21T15:31:25Z,UCSOBt9qe3u5-TtIK1pgeCdQ,"Enabling support for data processing, data analytics, and machine learning workloads in Kubernetes has been one of the goals of the open-source community. During this meetup, we’ll discuss the growing use of Kubernetes for data science and machine learning workloads. We’ll examine how new Kubernetes extensibility features such as custom resources and custom controllers are used for applications and frameworks integration. Apache Spark 2.3.’s native support is the latest indication of this growing trend. We’ll demo a few examples of data science workloads running on Kubernetes clusters setup by our Kublr platform.",119,1,0,0,"kubernetes, data science, machine learning",N/A
i8vrWFZW2xk,Andy Terrel | Dev Ops meets Data Science Taking models from prototype to production with Docker,2016-10-24T22:07:50Z,UCOjD18EJYcsBog4IozkF_7w,"PyData DC 2016

We present the evolution of a model to a production API that can scale to large e-commerce needs. On the journey we discuss metrics of success and how to use the Kubernetes cluster manager and associated tools for deploy. In addition to the use of these tools we highlight how to make use of the cluster management system for further testing and experimentation with your models.

The chasm between data science and dev ops is often wide and impenetrable, but the two fields have more in common than meets the eye. Every data scientist will be able to lean in and help their career by investing in a basic understanding the basic principles of dev ops. In this talk I present the notions of service level indicators, objectives, and agreements. I cover the rigorous monitoring and testing of services. Finally we demonstrate how to build a basic data science workflow and push to production level APIs with Docker and Kubernetes.

Kubernetes is an opinionated container cluster manager with an easy to use, robust interface. It can be use on very small and very large clusters. Docker is a container system that allows one to build code in an isolated environment. Paired with a container manager such as Kubernetes we are able to manage millions of instances as needed for a production deployment. These tools are two of many different options but are considered among the best open source solutions available. 00:00 Welcome!
00:10 Help us add time stamps or captions to this video! See the description for details.

Want to help add timestamps to our YouTube videos to help with discoverability? Find out more here: https://github.com/numfocus/YouTubeVideoTimestamps",1439,15,0,0,,N/A
nct39X2-oMM,Docker & Kubernetes for the Data Scientist,2022-07-27T09:11:47Z,UCn_9T5oprhCz9whckcRcEgg,"Deployment == Return on investment. This session looks to show you how to do that for Machine Learning. 
Speaker: Terry McCann https://SQLbits.com/speakers/Terry_McCann

http://SQLbits.com/Sessions/Docker__Kubernetes_for_the_Data_Scientist
 Tags: Azure,deployment,AWS,Big data analytics,AI and data science,gcp,DataOps,Intelligence and Analytics,Developing",869,16,0,0,"AI and data science, AWS, Azure, Big data analytics, DataOps, Developing, Intelligence and Analytics, deployment, gcp",N/A
Q5Syi14rv2c,The State of AI and Machine Learning Operations in 2019 - Alejandro Saucedo,2019-07-16T00:35:36Z,UCvqbFHwN-nwalWPjPUKpvTA,"Join us for Kubernetes Forums Seoul, Sydney, Bengaluru and Delhi - learn more at kubecon.io

Don't miss KubeCon + CloudNativeCon 2020 events in Amsterdam March 30 - April 2, Shanghai July 28-30 and Boston November 17-20! Learn more at kubecon.io. The conference features presentations from developers and end users of Kubernetes, Prometheus, Envoy, and all of the other CNCF-hosted projects

The State of AI and Machine Learning Operations in 2019 - Alejandro Saucedo, The Institute for Ethical AI & Machine Learning 

This talk will provide key insights on the learnings I have obtained throughout my career building and deploying machine learning systems, together with some of the technologies available in the open source ""Awesome DataOps / Machine Learning Operations"" list. I will be mainly covering the open source tools and frameworks available in 2019 to help you expand your DataOps and MLOps infrastructure. This talk will cover the technologies available to support specifically around reproducibility, monitoring, compliance and orchestration of data and computations. The main technologies that will be covered include PMML, Data Version Control (DVC), ModelDB, Pachyderm and Seldon. 

https://sched.co/Nrw1",1242,28,0,1,,N/A
YOQA7oUxoR0,"Containerized Architectures for Deep Learning using TensorFlow, Keras, Kubernetes, and KubeFlow",2019-10-24T02:53:01Z,UCvlZKtekcKkBUuz8f9dhobw,"Container and cloud native technologies around Kubernetes have become the de facto standard in modern ML and AI application development. And while many data scientists and engineers tend to focus on tools, the platform that enables these tools is equally important and often overlooked.

Speakers:  
Antje Barth
https://www.linkedin.com/in/antje-barth/

Chris Fregly
https://www.linkedin.com/in/cfregly/

Let’s examine some common architecture blueprints and popular technologies used to integrate AI into existing infrastructures, and learn how you can build a production-ready containerized platform for deep learning.
In particular, she explores Docker and Kubernetes, with its associated cloud native technologies, and its use and advantages in ML/AI environments.

Eventbrite:

https://www.eventbrite.com/e/1-hr-free-workshop-pipelineai-gpu-tpu-spark-ml-tensorflow-ai-kubernetes-kafka-scikit-tickets-45852865154

Meetup:

https://www.meetup.com/Advanced-KubeFlow/

Zoom:

https://zoom.us/j/690414331
Webinar ID: 690 414 331

Phone:

+1 646 558 8656 (US Toll) or +1 408 638 0968 (US Toll)

Related Links

PipelineAI Home: https://pipeline.ai

PipelineAI Community Edition: https://community.pipeline.ai

PipelineAI GitHub: https://github.com/PipelineAI/pipeline

PipelineAI Quick Start: https://quickstart.pipeline.ai

Advanced KubeFlow Meetup (SF-based, Global Reach): https://www.meetup.com/Advanced-KubeFlow/

YouTube Videos: https://youtube.pipeline.ai

SlideShare Presentations: https://slideshare.pipeline.ai

Slack Support:
https://joinslack.pipeline.ai

Email Support: support@pipeline.ai",2502,62,0,0,"kubernetes, kubeflow, tensorflow, artificial intelligence, machine learning, pytorch, keras, docker, container, deep learning",en
rIrNIzy6U_g,100+ Docker Concepts you Need to Know,2024-03-12T17:14:20Z,UCsBjURrPoezykLs9EqgamOA,"Learn everything you ever wanted to know about containerization is the ultimate Docker tutorial. Build Docker images, run containers, and scale your infrastructure in the cloud  with Docker 101. 

#computerscience #programming #101 

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources

Download Docker Desktop: https://dockr.ly/4c9PYp9
Check out Docker Scout: https://dockr.ly/3Vd2U7H

Related Videos: 

Docker in 100 Seconds https://youtu.be/Gjnup-PuquQ
Computer Science 101 https://youtu.be/-uleG_Vecis

📚 Chapters

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered

- What is Docker?
- What is Kubernetes?
- How to get started with Docker
- How to run a Docker Container
- Useful Docker tools
- Fast Docker Tutorial",1044634,50846,0,1151,"webdev, app development, lesson, tutorial",N/A
8m62o1U3XYk,GCP Fundamentals Part -3 | Google Container engine GKE | GCP Big data | GCP Machine Learning,2020-05-31T13:30:02Z,UC3wpx987p-cL7ktfkDjnBoA,"Google Kubernetes Engine (also known as GKE) is a cluster manager and orchestration system for running Docker containers in the cloud. It is a production-ready environment with guaranteed uptime, load balancing and included container networking features.

Google uses the data from its Web index to initially match queries with potentially useful results. This is augmented with data from trusted sources and other sites that have been ranked for accuracy by machine‐learning algorithms designed to assess the reliability of data

The cloud makes intelligent capabilities accessible without requiring advanced skills in artificial intelligence or data science. AWS, Microsoft Azure, and Google Cloud Platform offer many machine learning options that don't require deep knowledge of AI, machine learning theory, or a team of data scientists. #devops",74,4,0,0,"tutorialspoint, google cloud platform, big data, google cloud, cloud computing, machine learning, Google Cloud Platform Fundamentals, GCP Big data, GCP Machine Learning, Google Container engine GKE, google cloud platform tutorial, google cloud platform services, what is gcp app engine, google cloud platform services overview, big data analytics, gcp big data platform, gcp big data products, gcp big data solutions, gcp big data tutorial, how to use gcp for machine learning",N/A
va2r29oWWxQ,Microsoft Azure Kubernetes - Run Docker Container,2019-03-08T04:29:38Z,UCv6Uw36LRbYnX4HDxKPguKg,"Welcome to ""The AI University"".

About this video: 
This video titled ""Microsoft Azure Kubernetes - Run Docker Container"" explains the steps to run docker container,

Subtitles available in: English

FOLLOW ME ON:
Twitter:          https://twitter.com/theaiuniverse
Facebook :    https://www.facebook.com/theaiuniversity
Instagram:    https://www.instagram.com/theaiuniversity

Tool for Keyword Research, Channel Health, Thumbnail Generation for your channel : https://www.Tubebuddy.com/theaiuniversity

Videos Gear used to create this video : https://kit.com/Nitin001/the-ai-university-hd-video-kit

GITHUB REPO : https://github.com/nitinkaushik01

SUBSCRIBE LINK: https://www.youtube.com/c/TheAIUniversity

About this Channel:
The AI University is a channel which is on a mission to democratize the Artificial Intelligence, Big Data Hadoop and Cloud Computing education to the entire world. The aim of this channel is to impart the knowledge to the data science, data analysis, data engineering and cloud architecture aspirants as well as providing advanced knowledge to the ones who already possess some of this knowledge.

Please share, comment, like and subscribe if you liked this video. If you have any specific questions then you can comment on the comment section and I'll definitely try to get back to you.

*******Other AI, ML, Deep Learning, Augmented Reality related Video Series*****

Deploy Machine Learning Models as Web App using Flask & Docker on Azure Cloud - http://bit.ly/2Lgnd0g

Machine Learning Data Pre-processing & Data Wrangling using Python - http://bit.ly/2K6psly

Machine Learning & Deep Learning Project - http://bit.ly/2L0DUwz

Deep Learning Neural Network Tutorials - http://bit.ly/2K6e6hB

Machine Learning & Deep Learning Bootcamp Series - http://bit.ly/2K4648Q

Machine Learning using Spark MLLib - http://bit.ly/2QuKQGK

Augmented Reality Free Tutorial - http://bit.ly/32ioysS

Data Engineering Full Hands-on Course - http://bit.ly/2CsxSPz

Hadoop, Machine & Deep Learning on Azure Cloud Tutorial Series - http://bit.ly/2K74l2I

Natural Language Processing - http://bit.ly/2YtXQuF

Develop Dashboard for Business Intelligence & Data Science(Plotly Dash Tutorial Series) - http://bit.ly/2Yu1Uen

Data Science Tip and Tricks and Career Advice - http://bit.ly/2YvO6QE

Machine Learning, Deep Learning Maths(Matrix & Vector Operations) - http://bit.ly/2YxhOEZ

******************************************************************

DISCLAIMER: This video and description may contain affiliate links, which means that if you click on one of the product links, I’ll receive a small commission. 

#MicrosoftAzure #Kubernetes #CloudComputing",188,3,0,0,"Microsoft Azure Kubernetes - Run Docker Container, microsoft azure kubernetes, microsoft azure kubernetes service, create an azure managed kubernetes service (aks) cluster, microsoft azure kubernetes hands-on tutorial, microsoft azure kubernetes course, microsoft azure kubernetes service hands-on tutorial - introduction, microsoft azure stack kubernetes, microsoft azure kubernetes service(aks) devops",N/A
